Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Business,Business Ethics,2015-12-25,Team Building,Concepts,,,Yes,Bob MacGannon,Linkedin,1.5,0,1.5,United States
Business,Debbie Millman on Branding Design Matters and Personal Work,2015-12-19,Marketing,Concepts,,,Yes,Kristin Elison,Linkedin,1.5,0,1.5,United States
Information technology,Sharepoint Server 2013 Essential Training,2015-11-05,Web Development,Sharepoint,,,Yes,Gini Courter,Linkedin,9.5,0,9.5,United States
Business,Using Office Shapes and Smart Art to Enhance Business Documents,2015-11-05,Marketing,Concepts,,,Yes,Toni SaddlerFrench,Linkedin,1,0,1,United States
Business,Study Skills Fundamentals,2015-10-28,Concepts,Concepts,,,Yes,Paul Nowak,Linkedin,1.5,0,1.5,United States
Business,Building Resilience,2015-10-04,Team Building,Concepts,,,Yes,Tatiana Kolovou,Linkedin,1,0,1,United States
Project Management,Microsoft Project Server 2013 Essential Training,2015-09-04,MS Project,Concepts,,,Yes,Bonnie Biafore,Linkedin,5,0,5,United States
Business,Spying with SEO Tools,2015-05-20,Marketing,Concepts,,,Yes,Anson Alexander,Linkedin,1,0,1,United States
Project Management,Managing Small Projects ,2015-05-19,Agile,Concepts,,,Yes,Bonnie Biafore,Linkedin,1.5,0,1.5,United States
Project Management,Becoming a Triple Threat Project Manager,2015-05-18,PMBOK,Concepts,,,Yes,Bob McGannon,Linkedin,0.5,0,0.5,United States
Project Management,Managing Project Stakeholders,2015-05-17,PMBOK,Concepts,,,Yes,Terri Wagner,Linkedin,1,0,1,United States
Project Management,Agile Project Management,2015-05-17,Agile,Concepts,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Quality,2015-05-16,PMBOK,Concepts,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Project Management,Managing Project Procurement,2015-05-16,PMBOK,Concepts,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Project Management,Project Management Fundamentals,2015-05-16,PMBOK,Concepts,,,Yes,Bonnie Biafore,Linkedin,3,0,3,United States
Project Management,Managing Project Teams,2015-05-15,PMBOK,Concepts,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Project Management,Managing Project Risk,2015-05-15,PMBOK,Concepts,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Communication,2015-05-15,PMBOK,Concepts,,,Yes,Doug Rose,Linkedin,1.5,0,1.5,United States
Project Management,Managing Project Budget,2015-05-15,PMBOK,Concepts,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Change ,2015-05-15,PMBOK,Concepts,,,Yes,Doug Rose,Linkedin,1,0,1,United States
Business,Presentation Fundamentals,2015-05-14,Marketing,Concepts,,,Yes,Tatiana Kolovou,Linkedin,1.5,0,1.5,United States
