group,subgroup,subject,tool,language ,course,date,stars,cerificate,instructor,company,theory,practice,total,country
Information Technology,Artificial Inteligence,Neural Network,Language,Python,Artificial Inteligence AZ,2017-01-09,5,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,17,33,50,United States
Information Technology,Artificial Inteligence,Neural Network,Language,Python,Advanced AI  Deep Reinforcement Learning in Python,2017-01-07,5,Yes,Lazy Programmer,Udemy,5,9,14,United States
Information Technology,Artificial Inteligence,Neural Network,Language,Python,Deep Learning AZ  Python,2017-01-05,5,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,22,44,66,United States
Information Technology,Artificial Inteligence,Neural Network,Language,R,Deep Learning Regression with R,2018-05-01,5,Yes,Diego Rodrigues,Udemy,4,8,12,United Kingdown
Information Technology,Artificial Inteligence,Statistics,SPSS,,SPSS  Statistical Essencial Training,2016-01-04,5,Yes,Barton Poulson,Linkedin,5,10,15,United States
Information Technology,Artificial Inteligence,Statistics,,,Math for Data Science Masterclass,2024-02-04,5,Yes,Krista King and Jose Portilla,Udemy,16,0,16,United Kingdown
Information Technology,Artificial Inteligence,Statistics,,,Statistics Foundation 2,2018-12-03,5,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Information Technology,Artificial Inteligence,Statistics,,,Statistics Foundation 1,2018-11-03,5,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Information Technology,Artificial Inteligence,Statistics,,,Statistics Foundation 3,2018-03-14,5,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Information Technology,Artificial Inteligence,Statistics,,,Statistics for Business Analytics AZ,2017-01-06,5,Yes,Kiril Eremenko,Super Data Science,7,14,21,United States
Information Technology,Artificial Inteligence,Data,Hadoop,,Big Data and Hadoop,2016-05-03,5,Yes,Chaitam,Edureka,70,0,70,India
Information Technology,Artificial Inteligence,Data,Hadoop,,Data Analysis on Hadoop,2016-01-07,5,Yes,Jack Dintruff,Linkedin,1,2,3,United States
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Machine Trading Analysis with R,2017-01-11,5,Yes,Diego Rodrigues,Udemy,6,11,17,United Kingdown
Information Technology,Network,Cloud,AWS,,Ultimate AWS Solutions Architect Professional 2021,2021-11-30,5,Yes,Stephane Maarek,Udemy,15,15,30,United Kingdown
Information Technology,Network,Cloud,AWS,,AWS Cloud Formation Masterclass,2021-04-18,5,Yes,Stephane Maarek,Udemy,4,4,8,United States
Information Technology,Network,Cloud,AWS,,AWS Associate Developer Associate 2020,2020-01-12,5,Yes,Stephane Maarek,Udemy,30,25,55,United States
Information Technology,Network,Cloud,AWS,,Ultimate AWS Certified Solution Architect 2020,2020-01-02,5,Yes,Stephane Maarek,Udemy,9,18,27,United Kingdown
Information Technology,Network,Cloud,AWS,,EU Privacy Law & AWS,2019-01-01,5,Yes,,Udemy,2,0,2,United Kingdown
Information Technology,Network,Cloud,AWS,,Amazon AWS Associate Solution Architect ,2018-01-05,5,Yes,Ryan Kroonenberg,Udemy,21,10,31,United Kingdown
Information Technology,Network,Cloud,AWS,,Amazon webservices for Data Science,2016-01-10,5,Yes,Lynn Langit,Linkedin,4,8,12,United States
