Area,Course,Date,Skills,Technology,Group,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Information technology,Design Paterns with Python,05/01/2016,Coding,Python,Software,,4,Yes,Jungwoo Ryoo,Linkedin,2,4,6,United States
Information technology,Up and Running with Python,05/01/2016,Coding,Python,Software,,7,Yes,Joe Marini,Linkedin,2.5,5,7.5,United States
Information technology,Understanding Microsoft Azure Core Functionalities,05/01/2016,Cloud computing,AZURE,Infrastructure,,11,Yes,David Rivers,Linkedin,3,6,9,United States
Project Management,Agile at Work: Driving Productive Agile Meetings,05/01/2016,Agile,Concepts,,,,Yes,Doug Rose,Linkedin,1,0,1,United States
Project Management,Managing Project Integration,05/01/2016,PMBOK,Concepts,,,,Yes,Bob MacGannon,Linkedin,1,0,1,United States
Project Management,Rescuing Trouble Projects,05/01/2016,PMBOK,Concepts,,,,Yes,Bob MacGannon,Linkedin,1,0,1,United States
Project Management,Delivering Employee Fedback,05/01/2016,Team Building,Concepts,,,,Yes,Jungwoo Ryoo,Linkedin,1,0,1,United States
Project Management,Managing Multiple Generations,05/01/2016,Team Building,Concepts,,,,Yes,Christina Schlachter,Linkedin,1,0,1,United States
Business,Social Employes  The New Markteting Channel,04/01/2016,Marketing,Concepts,,,,Yes,Mark Burges,Linkedin,1.5,0,1.5,United States
Data Science,SPSS  Statistical Essencial Training,04/01/2016,Statistics,SPSS,Software,,,Yes,Barton Poulson,Linkedin,5,10,15,United States
Information technology,Amazon webservices Data Services,04/01/2016,Cloud computing,AWS,Infrastructure,,6,Yes,Lynn Langit,Linkedin,5,10,15,United States
Project Management,Manage your Big Data Organization Programme,03/01/2016,Data Management,Concepts,,,,Yes,Alan Simon,Linkedin,1,2,3,United States
Business,Writing Research Papers,01/01/2016,Concepts,Concepts,,,,Yes,Judy Steiner Willians,Linkedin,2,0,2,United States
Business,Connecting with Executives,01/01/2016,Sales,Concepts,,,,Yes,John Ullmem,Linkedin,0.5,0,0.5,United States
Business,Business Ethics,25/12/2015,Team Building,Concepts,,,,Yes,Bob MacGannon,Linkedin,1.5,0,1.5,United States
Business,Debbie Millman on Branding Design Matters and Personal Work,19/12/2015,Marketing,Concepts,,,,Yes,Kristin Elison,Linkedin,1.5,0,1.5,United States
Business,Using Office Shapes and Smart Art to Enhance Business Documents,05/11/2015,Marketing,Concepts,,,,Yes,Toni SaddlerFrench,Linkedin,1,0,1,United States
Information technology,Sharepoint Server 2013 Essential Training,05/11/2015,Web Development,Sharepoint,Packages,,,Yes,Gini Courter,Linkedin,9.5,0,9.5,United States
Business,Study Skills Fundamentals,28/10/2015,Concepts,Concepts,,,,Yes,Paul Nowak,Linkedin,1.5,0,1.5,United States
Business,Building Resilience,04/10/2015,Team Building,Concepts,,,,Yes,Tatiana Kolovou,Linkedin,1,0,1,United States
Project Management,Microsoft Project Server 2013 Essential Training,04/09/2015,MS Project,Concepts,,,,Yes,Bonnie Biafore,Linkedin,5,0,5,United States
Business,Spying with SEO Tools,20/05/2015,Marketing,Concepts,,,,Yes,Anson Alexander,Linkedin,1,0,1,United States
Project Management,Managing Small Projects ,19/05/2015,Agile,Concepts,,,,Yes,Bonnie Biafore,Linkedin,1.5,0,1.5,United States
Project Management,Becoming a Triple Threat Project Manager,18/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,0.5,0,0.5,United States
Project Management,Agile Project Management,17/05/2015,Agile,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Stakeholders,17/05/2015,PMBOK,Concepts,,,,Yes,Terri Wagner,Linkedin,1,0,1,United States
Project Management,Managing Project Procurement,16/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Project Management,Managing Project Quality,16/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Project Management,Project Management Fundamentals,16/05/2015,PMBOK,Concepts,,,,Yes,Bonnie Biafore,Linkedin,3,0,3,United States
Project Management,Managing Project Budget,15/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Change ,15/05/2015,PMBOK,Concepts,,,,Yes,Doug Rose,Linkedin,1,0,1,United States
Project Management,Managing Project Communication,15/05/2015,PMBOK,Concepts,,,,Yes,Doug Rose,Linkedin,1.5,0,1.5,United States
Project Management,Managing Project Risk,15/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Teams,15/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Business,Presentation Fundamentals,14/05/2015,Marketing,Concepts,,,,Yes,Tatiana Kolovou,Linkedin,1.5,0,1.5,United States
Business,Developing Executive Presence,27/04/2015,Sales,Concepts,,,,Yes,John Ullmen,Linkedin,1.5,0,1.5,United States
Data Science,Hadoop Fundamentals ,24/04/2015,Data Management,Spark,Software,,,Yes,Lynn Langit,Linkedin,5,10,15,United States
Information technology,Managing Documents with Sharepoint 2013,24/04/2015,Web Development,Sharepoint,Packages,,,Yes,Mark Abdelnour,Linkedin,2,0,2,United States
Information technology,Sharepoint Designer 2013 : Custom Workflows,21/04/2015,Web Development,Sharepoint,Packages,,,Yes,Gini Courter,Linkedin,7,0,7,United States
Business,Sales Fundamentals,14/04/2015,Sales,Concepts,,,,Yes,Jeff Blomfield,Linkedin,1,0,1,United States
Project Management,Microsoft Project Web Application 2013,14/04/2015,MS Project,Concepts,,,,Yes,John Riopel,Linkedin,1.5,0,1.5,United States
Business,Foundation of Teaching with Technology,13/04/2015,Teaching,Concepts,,,,Yes,Kevin Kelly,Linkedin,2.5,5,7.5,United States
Information technology,Sharepoint 2013 New Features,13/04/2015,Web Development,Sharepoint,Packages,,,Yes,Gini Courter,Linkedin,2.5,0,2.5,United States
Project Management,Managing Technical Teams,13/04/2015,Agile,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Business,Speed Reading Fundamentals,31/03/2015,Productivity,Concepts,,,,Yes,Paul Nowak,Linkedin,1,0,1,United States
Business,Competitive Strategy Fundamentals,24/03/2015,Productivity,Concepts,,,,Yes,Anil Gupta,Linkedin,1,0,1,United States
Business,Google Calendar Essential Training,24/03/2015,Productivity,Google Calendar,,,,Yes,Jess Stratton,Linkedin,1.5,3,4.5,United States
